Вулиця;ціна;лінк
Княгині Ольги 5з;8000грн.можливий торг;https://lvov.mesto.ua/uk/rent/frankovskij-rajon/ulitsa-knyagini-olgi/15369441.html?tar
Малоголосківська;8200грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/malogoloskovskaya-ulitsa/15314879.html?tar
Городоцька;5500грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/gorodotskaya-ulitsa/14377737.html?tar
Галицька;650$;https://lvov.mesto.ua/uk/rent/galitskij-rajon/galitskaya-ulitsa/14812113.html?tar
Шептицьких;450$;https://lvov.mesto.ua/uk/rent/galitskij-rajon/ulitsa-sheptitskih/14507041.html?tar
Панча;7500грн.можливий торг;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-petra-pancha/15238693.html?tar
Жовківська;3200грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/zholkovskaya-ulitsa/14638241.html?tar
Франка центр;7000грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/ulitsa-ivana-franko/15202222.html?tar
Шевченка;5500грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-shevchenko/15202219.html?tar
Рясне 1;5500грн.;https://lvov.mesto.ua/uk/rent/15202214.html?tar
Повітряна;4500грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/kvartal-levandovka/povitryannaya-ulitsa/15202210.html?tar
Шпитальна історичний центр;9000грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/shpitalnaya-ulitsa/15202206.html?tar
Дорошенка центр;10000грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/ulitsa-petra-doroshenko/15202202.html?tar
Пекарська центр;10000грн.можливий торг;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/pekarskaya-ulitsa/15202201.html?tar
Замарстинівська - центр;7799грн.можливий торг;https://lvov.mesto.ua/uk/rent/galitskij-rajon/zamarstyinovskaya-ulitsa/15202199.html?tar
Суботівська;7999грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/kvartal-levandvka/subbotovskaya-ulitsa/15202195.html?tar
Єрошенка;6500грн.;https://lvov.mesto.ua/uk/rent/shevchenkovskij-rajon/ulitsa-eroshenko/15369464.html?tar
Тютюників;6500грн.;https://lvov.mesto.ua/uk/rent/15369462.html?tar
Суботівська;6500грн.;https://lvov.mesto.ua/uk/rent/zheleznodorozhnyij-rajon/kvartal-levandvka/subbotovskaya-ulitsa/15327412.html?tar
Пекарська;1100$;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/pekarskaya-ulitsa/13394527.html?tar
Личаківська;5000грн.;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/lyichakovskaya-ulitsa/14644053.html?tar
кн Ольги;8000грн.;https://lvov.mesto.ua/uk/rent/frankovskij-rajon/ulitsa-knyagini-olgi/15200282.html?tar
Зелена;9500грн.можливий торг;https://lvov.mesto.ua/uk/rent/lyichakovskij-rajon/zelyonaya-ulitsa/15200281.html?tar
